id,CTG,GP,LSM,outcome
1,Good,Yes,A,Pass
2,Good,No,A,Pass
3,Good,No,A,Pass
4,Average,No,A,Pass
5,Average,Yes,A,Pass
6,Poor,No,A,Pass
7,Poor,No,A,Pass
8,Average,Yes,A,Pass
9,Poor,No,A,Fail
10,Average,Yes,A,Pass
11,Good,Yes,B,Pass
12,Good,Yes,B,Pass
13,Good,No,B,Pass
14,Average,Yes,B,Pass
15,Good,Yes,B,Pass
16,Good,Yes,B,Pass
17,Average,Yes,B,Pass
18,Average,Yes,B,Pass
19,Poor,Yes,B,Pass
20,Average,No,B,Pass
21,Poor,Yes,B,Fail
22,Poor,Yes,B,Fail
23,Poor,No,B,Fail
24,Poor,Yes,B,Pass
25,Poor,Yes,B,Fail
26,Poor,No,B,Fail
27,Good,Yes,C,Pass
28,Average,Yes,C,Pass
29,Good,Yes,C,Pass
30,Good,Yes,C,Pass
31,Good,No,C,Pass
32,Average,Yes,C,Pass
33,Average,Yes,C,Fail
34,Average,No,C,Fail
35,Good,Yes,C,Fail
36,Average,No,C,Fail
37,Poor,No,C,Fail
38,Poor,Yes,C,Fail
39,Average,Yes,C,Fail
40,Poor,No,C,Fail
41,Poor,Yes,C,Fail
42,Poor,No,C,Fail
43,Good,Yes,C,Pass
44,Good,Yes,C,Pass
45,Average,Yes,C,Fail
46,Poor,Yes,C,Fail
47,Good,Yes,C,Fail
48,Poor,No,C,Fail
49,Average,Yes,C,Pass
50,Poor,No,C,Fail
